design,resolution,depth,case,lambda,parent_n,observed_n,train_n,validation_n,region_D,parent_membership,membership_status,iterations,score,stopped,tail_feasible,invisible_initial,invisible_final,true_invisible,observed_law_TV,reference_RMSE,selected_oracle_RMSE,min_raw_ell_gain,Shat_0,Strue_0,Shat_1,Strue_1,Shat_2,Strue_2
coarse_d2,coarse,2,lambda2_N1600_r017,3/4,1600,992,465,527,608,True,included,42,9.582370624582015e-09,True,True,0.1111111111111111,0.1111111111111109,0.296875,0.029701927940711515,0.14625815389317606,0.27168984385847933,0.0,0.4759310586980147,0.5888671875,0.37166456451463936,0.501708984375,0.1111111111111109,0.296875
coarse_d2,coarse,2,lambda2_N1600_r018,3/4,1600,1024,509,515,576,True,included,41,8.978671250936543e-09,True,True,0.1111111111111111,0.1111111111111108,0.296875,0.016308107539993767,0.14899591872320933,0.26988664867379986,0.0,0.4722751618003428,0.5888671875,0.3657037325769664,0.501708984375,0.1111111111111108,0.296875
coarse_d2,coarse,2,lambda2_N1600_r019,3/4,1600,985,490,495,615,True,included,39,8.20797004283856e-09,True,True,0.1111111111111111,0.11111111111111126,0.296875,0.033392390553254395,0.14377381297903677,0.267949396309399,0.0,0.49021273921851005,0.5888671875,0.3683980496594091,0.501708984375,0.11111111111111126,0.296875
coarse_d2,coarse,2,lambda2_N400_r000,3/4,400,242,125,117,158,True,included,29,8.686999064992065e-09,True,True,0.1111111111111111,0.11111111111111112,0.296875,0.07688217274886357,0.16299282225820724,0.2757180206367598,0.0,0.4515177909426804,0.5888671875,0.339453318300427,0.501708984375,0.11111111111111112,0.296875
coarse_d2,coarse,2,lambda2_N400_r001,3/4,400,245,104,141,155,True,included,37,8.149837013865626e-09,True,True,0.1111111111111111,0.11111111111111133,0.296875,0.06909621495750728,0.13966288097067095,0.24047729212790267,0.0,0.5093560446442091,0.5888671875,0.3687168165239343,0.501708984375,0.11111111111111133,0.296875
coarse_d2,coarse,2,lambda2_N400_r002,3/4,400,255,120,135,145,True,included,29,8.275519710022148e-09,True,True,0.1111111111111111,0.11111111111111113,0.296875,0.045833967540097,0.14582081553787357,0.27174858528112766,0.0,0.48516049356609725,0.5888671875,0.3655920128006661,0.501708984375,0.11111111111111113,0.296875
coarse_d2,coarse,2,lambda2_N400_r003,3/4,400,244,112,132,156,True,included,41,7.2268327861164554e-09,True,True,0.1111111111111111,0.11111111111111098,0.296875,0.07022138633428768,0.13555553195164538,0.2569773377401683,0.0,0.503543270865579,0.5888671875,0.386220831029648,0.501708984375,0.11111111111111098,0.296875
coarse_d2,coarse,2,lambda2_N400_r004,3/4,400,262,138,124,138,True,included,42,8.204631762791141e-09,True,True,0.1111111111111111,0.11111111111111079,0.296875,0.07887209887225737,0.1334069256092114,0.2518974539988203,0.0,0.5219943039157446,0.5888671875,0.3816589180380418,0.501708984375,0.11111111111111079,0.296875
coarse_d2,coarse,2,lambda2_N400_r005,3/4,400,244,123,121,156,True,included,35,8.092649377580468e-09,True,True,0.1111111111111111,0.11111111111111079,0.296875,0.07247501209632233,0.15349139892196198,0.2893297554764471,5.684341886080802e-14,0.45916597089061734,0.5888671875,0.3626111748164558,0.501708984375,0.11111111111111079,0.296875
coarse_d2,coarse,2,lambda2_N400_r006,3/4,400,261,126,135,139,True,included,34,7.111562962183939e-09,True,True,0.1111111111111111,0.11111111111111116,0.296875,0.08073719055567977,0.1437369405460001,0.26569423549831656,0.0,0.49146859395394665,0.5888671875,0.3675962862711278,0.501708984375,0.11111111111111116,0.296875
