A,B,C,D,EM_global_optimality,EM_invisible_mass,EM_iterations,EM_positive_score,EM_stop_tolerance_met,EM_tail_class_final,Shat_0,Shat_1,Shat_2,Strue_0,Strue_1,Strue_2,case,coverage_decision,full_parent_empirical_RMSE,lambda,max_mass_sum_error,observed_law_TV,parent_n,raw_min_ell_increment,reference_survival_RMSE,rep,selected_oracle_RMSE,status,train_n,true_in_confidence_set,true_invisible_mass,validation_n
243,417,410,530,not_certified,0.11111111111111138,45,9.486884197014032e-09,True,True,0.4853307967135331,0.36760802938912907,0.11111111111111138,0.5625,0.46875,0.25,lambda1_N1600_r002,included,0.0039197682754639,0,8.881784197001252e-16,0.02474336003258954,1600,0.0,0.10874267425395973,2,0.2349340334377452,computed,534,True,0.25,536
245,392,417,546,not_certified,0.11111111111111101,42,9.909460573214521e-09,True,True,0.49319513434271606,0.37815835563573696,0.11111111111111101,0.5625,0.46875,0.25,lambda1_N1600_r003,included,0.014375000000000027,0,5.551115123125783e-16,0.025845925987765132,1600,-2.2737367544323206e-13,0.10376276449861553,3,0.22455040663067552,computed,560,True,0.25,494
240,418,412,530,not_certified,0.11111111111111097,45,8.76485611566138e-09,True,True,0.501125488089497,0.3900032519887392,0.11111111111111097,0.5625,0.46875,0.25,lambda1_N1600_r004,included,0.010789172813520027,0,5.551115123125783e-16,0.028423556137093374,1600,0.0,0.09875559813902814,4,0.2230999437310225,computed,515,True,0.25,555
282,401,374,543,not_certified,0.11111111111111086,39,7.098230561304286e-09,True,True,0.4651024118344158,0.3487090010448708,0.11111111111111086,0.5625,0.46875,0.25,lambda1_N1600_r005,included,0.00856196774501439,0,7.771561172376096e-16,0.026838199284543972,1600,0.0,0.11998090829712349,5,0.2466321408056184,computed,533,True,0.25,524
266,367,422,545,not_certified,0.11111111111111106,44,7.996831089051295e-09,True,True,0.489408614847766,0.39009737067706207,0.11111111111111106,0.5625,0.46875,0.25,lambda1_N1600_r006,included,0.008188851669597322,0,2.220446049250313e-16,0.04026687059185325,1600,0.0,0.10135533227162385,6,0.22983618154062294,computed,557,True,0.25,498
261,392,414,533,not_certified,0.1111111111111112,38,9.843604677598066e-09,True,True,0.4715592452093328,0.3608970933569313,0.1111111111111112,0.5625,0.46875,0.25,lambda1_N1600_r007,included,0.004921254921257392,0,6.661338147750939e-16,0.025765844171696795,1600,0.0,0.11429872237554371,7,0.23611493664771507,computed,551,True,0.25,516
263,379,424,534,not_certified,0.11111111111111108,44,7.940731906082754e-09,True,True,0.49356746524805295,0.388364802424696,0.11111111111111108,0.5625,0.46875,0.25,lambda1_N1600_r008,included,0.009553849573165072,0,4.440892098500626e-16,0.03182262117718448,1600,0.0,0.10083583654194107,8,0.22371620316383098,computed,514,True,0.25,552
275,409,391,525,not_certified,0.1111111111111111,38,7.867975846450061e-09,True,True,0.46386706194926464,0.36235592062164984,0.1111111111111111,0.5625,0.46875,0.25,lambda1_N1600_r009,included,0.01101608672200191,0,4.440892098500626e-16,0.027355262158926072,1600,-2.2737367544323206e-13,0.11595729106309932,9,0.24112057755601918,computed,541,True,0.25,534
262,415,397,526,not_certified,0.11111111111111105,43,9.488061494764666e-09,True,True,0.485549089655699,0.36198088616172586,0.11111111111111105,0.5625,0.46875,0.25,lambda1_N1600_r010,included,0.0027003086243366234,0,3.3306690738754696e-16,0.02545545725398687,1600,-2.2737367544323206e-13,0.11047052356385562,10,0.2318722152376553,computed,556,True,0.25,518
263,399,388,550,not_certified,0.11111111111111135,38,8.62514980326523e-09,True,True,0.4951723096856679,0.3817610906763772,0.11111111111111135,0.5625,0.46875,0.25,lambda1_N1600_r011,included,0.012930100540985772,0,8.881784197001252e-16,0.024461270682397923,1600,0.0,0.10229078108537142,11,0.22650482803258534,computed,509,True,0.25,541
